categoria,marca,modelo,motor,versao,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
SUBCOMPACTO,CHERY,QQ 1.0,1.0­12V,"1,0",M­5,sim,Hidráulica,Gasolina,0.0,0.0,11.8,13.9,2015
SUBCOMPACTO,FIAT,500,1.4­8V,Cult,M­5,sim,Elétrica,Flex,7.6,8.7,11.0,12.7,2015
SUBCOMPACTO,FIAT,500,1.4­8V,Cult Dualogic,MTA­5,sim,Elétrica,Flex,7.7,8.7,11.2,12.8,2015
SUBCOMPACTO,FIAT,500,1.4­8V,Cult Cabrio,M­5,sim,Elétrica,Flex,7.6,8.2,10.9,11.9,2015
SUBCOMPACTO,FIAT,500,1.4­8V,Cult CabrioDualogic,MTA­5,sim,Elétrica,Flex,7.6,8.2,11.0,12.0,2015
SUBCOMPACTO,FIAT,500,1.4­16V,CabrioAutomático,A­6,sim,Elétrica,Flex,6.9,8.3,10.0,12.1,2015
SUBCOMPACTO,FIAT,500,1.4­16V,Abarth,M­5,sim,Elétrica,Gasolina,0.0,0.0,9.5,10.9,2015
SUBCOMPACTO,FIAT,Uno,1.0­8V,Vivace,M­5,não,Mecânica,Flex,8.2,10.4,11.8,15.0,2015
SUBCOMPACTO,FIAT,Novo Uno,1.0­8V,Attractive,M­5,não,Hidráulica,Flex,8.4,10.3,12.0,14.8,2015
SUBCOMPACTO,FIAT,Novo Uno,1.0­8V,Way,M­5,sim,Hidráulica,Flex,8.0,9.1,11.5,13.0,2015
SUBCOMPACTO,FIAT,Novo Uno,1.4­8V,Sporting,M­5,sim,Hidráulica,Flex,7.8,8.6,11.2,12.5,2015
SUBCOMPACTO,FIAT,Novo Uno,1.4­8V,Sporting,MTA­5,sim,Hidráulica,Flex,7.7,8.5,11.1,12.3,2015
SUBCOMPACTO,FIAT,Novo Uno,1.4­8V,Evolution S&S,M­5,não,Hidráulica,Flex,8.9,10.5,12.9,15.1,2015
SUBCOMPACTO,FIAT,Palio,1.0­8V,Fire,M­5,não,Mecânica,Flex,8.8,10.3,12.3,15.0,2015
SUBCOMPACTO,FIAT,Palio,1.0­8V,Fire Way,M­5,não,Mecânica,Flex,8.2,10.0,11.9,14.6,2015
SUBCOMPACTO,JAC,J2,1.4­16V,*****,M­5,sim,Elétrica,Gasolina,0.0,0.0,11.9,12.7,2015
